id,id_anfitrion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,texto_banos,noches_minimas,noches_maximas,min_noches_maximas,max_noches_maximas,precio,disp_30d,disp_60d,disp_90d,disp_365d,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,antiguedad_host,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,listados_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia,amenidades,tasa_respuesta_host_rango_15,tasa_aceptacion_host_rango_15,total_listados_host_rango_15,precio_rango_15,max_noches_maximas_rango_15,disp_365d_rango_15,num_resenas_rango_15,calif_total_rango_15,calif_valor_rango_15,resenas_por_mes_rango_15
1070599969710788200,273110504,,Ward C (councilmember Richard Boggiano),40.7408,-74.05527,Entire guesthouse,Entire home/apt,1,1.0,1.0,1.0,1 bath,1,365,365.0,365.0,97.0,13,30,44,192,21,19,4,2024-05-13,2025-06-20,1.55,4.95,4.95,4.86,4.86,4.95,4.86,4.9,t,t,2019-07-02,within an hour,1.0,1.0,t,t,3.0,3.0,3,0,0,Exempt,"[""Clothing storage"", ""Freezer"", ""Outdoor furniture"", ""Pets allowed"", ""Long term stays allowed"", ""Dishes and silverware"", ""Iron"", ""Private entrance"", ""TV"", ""Shower gel"", ""Mini fridge"", ""Wine glasses"", ""Room-darkening shades"", ""Ceiling fan"", ""Shampoo"", ""Hangers"", ""Board games"", ""Free street parking"", ""Bed linens"", ""Essentials"", ""Air conditioning"", ""Coffee"", ""Smoke alarm"", ""Microwave"", ""Outdoor dining area"", ""Books and reading material"", ""First aid kit"", ""Heating"", ""Coffee maker: Keurig coffee machine"", ""Hair dryer"", ""Hockey rink"", ""Children\u2019s books and toys"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Keypad"", ""Fire extinguisher"", ""Bathtub"", ""Conditioner"", ""Refrigerator"", ""Exercise equipment"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Single level home"", ""Hot water"", ""Cleaning available during stay"", ""Self check-in"", ""Carbon monoxide alarm"", ""Body soap"", ""Wifi"", ""Cleaning products""]","[0.933, 1.0)","[0.989, 1.0)","[1.0, 4.933)","[64.4, 98.8)","[302.2, 377.0)","[170.333, 194.667)","[15.467, 23.2)","[4.733, 5.0)","[4.733, 5.0)","[1.254, 1.669)"
1071712982309364283,29876409,,Ward B (councilmember Mira Prinz-Arey),40.7262093392705,-74.07080490142107,Private room in rental unit,Private room,1,1.0,1.0,1.0,1 bath,28,365,365.0,365.0,50.0,0,19,49,324,61,35,0,2024-01-28,2025-03-10,3.57,4.95,4.95,4.77,4.93,5.0,4.7,4.89,t,t,2015-03-23,within an hour,1.0,1.0,t,t,5.0,10.0,0,3,0,SL222222X2XX2XXXX2,"[""Kitchen"", ""Refrigerator"", ""Lockbox"", ""Shampoo"", ""Lock on bedroom door"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shower gel"", ""Essentials"", ""Fire extinguisher"", ""Air conditioning"", ""Wifi"", ""Smoke alarm""]","[0.933, 1.0)","[0.989, 1.0)","[8.867, 12.8)","[30.0, 64.4)","[302.2, 377.0)","[316.333, 340.667)","[54.133, 61.867)","[4.733, 5.0)","[4.733, 5.0)","[3.327, 3.742)"
1073508729376593294,449627040,,Ward B (councilmember Mira Prinz-Arey),40.72278,-74.07626,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,28,365,365.0,365.0,103.0,30,60,90,269,4,0,0,2024-03-18,2024-05-13,0.26,4.25,4.75,4.25,4.75,4.5,4.5,4.25,f,f,2022-03-14,within a few hours,1.0,0.97,t,f,1.0,2.0,1,0,0,SL222222X2XX2XXXX2,"[""Stove"", ""Bathtub"", ""Shampoo"", ""Dishes and silverware"", ""Shower gel"", ""Freezer"", ""Conditioner"", ""Hot water kettle"", ""Refrigerator"", ""Kitchen"", ""Free street parking"", ""Window guards"", ""Dedicated workspace"", ""Blender"", ""Ethernet connection"", ""Microwave"", ""Washer"", ""Long term stays allowed"", ""Pets allowed"", ""Dishwasher"", ""Hair dryer"", ""Body soap"", ""Iron"", ""Toaster"", ""Dining table"", ""Extra pillows and blankets"", ""Coffee maker"", ""Lockbox"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Cooking basics"", ""Central heating"", ""Carbon monoxide alarm"", ""TV"", ""Laundromat nearby"", ""Bed linens"", ""Fire extinguisher"", ""Books and reading material"", ""Cleaning products"", ""Hot water"", ""Bidet"", ""Oven"", ""Wifi"", ""Air conditioning"", ""Coffee"", ""Self check-in""]","[0.933, 1.0)","[0.966, 0.977)","[1.0, 4.933)","[98.8, 133.2)","[302.2, 377.0)","[267.667, 292.0)","[0.0, 7.733)","[4.2, 4.467)","[4.2, 4.467)","[0.01, 0.425)"
1073510277678181646,106979335,,Ward F (councilmember Jermaine D. Robinson),40.7119,-74.0663,Private room in home,Private room,2,1.0,1.0,1.0,1 bath,1,29,29.0,29.0,63.0,10,26,42,162,92,5,0,2024-02-03,2025-06-18,5.45,4.67,4.7,4.61,4.76,4.92,4.33,4.61,f,f,2016-12-12,within an hour,1.0,0.99,t,t,3.0,3.0,1,2,0,STR-057321-2024,"[""Clothing storage"", ""Freezer"", ""Oven"", ""Fast wifi \u2013 275 Mbps"", ""Dishes and silverware"", ""Iron"", ""TV"", ""Shower gel"", ""Mini fridge"", ""Lockbox"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Bed linens"", ""Essentials"", ""Air conditioning"", ""Central heating"", ""Private backyard"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Lock on bedroom door"", ""First aid kit"", ""Hair dryer"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hot water kettle"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Toaster"", ""Hot water"", ""Stove"", ""Self check-in"", ""Portable heater"", ""Carbon monoxide alarm"", ""Body soap""]","[0.933, 1.0)","[0.989, 1.0)","[1.0, 4.933)","[30.0, 64.4)","[3.0, 77.8)","[146.0, 170.333)","[85.067, 92.8)","[4.467, 4.733)","[4.467, 4.733)","[5.401, 5.815)"
1073531987953010906,106979335,,Ward F (councilmember Jermaine D. Robinson),40.71174,-74.06567,Private room in home,Private room,2,1.0,1.0,1.0,1 bath,1,365,365.0,365.0,72.0,5,12,23,141,92,5,0,2024-02-01,2025-06-22,5.42,4.79,4.8,4.68,4.9,4.92,4.51,4.71,f,f,2016-12-12,within an hour,1.0,0.99,t,t,3.0,3.0,1,2,0,STR-057321-2024,"[""Clothing storage"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Iron"", ""TV"", ""Shower gel"", ""Mini fridge"", ""Lockbox"", ""Free parking on premises"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Bed linens"", ""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Lock on bedroom door"", ""First aid kit"", ""Heating"", ""Hair dryer"", ""Extra pillows and blankets"", ""Backyard"", ""Fire extinguisher"", ""Hot water kettle"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Toaster"", ""Hot water"", ""Stove"", ""Self check-in"", ""Carbon monoxide alarm"", ""Body soap"", ""Wifi""]","[0.933, 1.0)","[0.989, 1.0)","[1.0, 4.933)","[64.4, 98.8)","[302.2, 377.0)","[121.667, 146.0)","[85.067, 92.8)","[4.733, 5.0)","[4.467, 4.733)","[5.401, 5.815)"
1076062014627272595,501999514,,Ward E (councilmember James Solomon),40.72095,-74.03437,Room in hotel,Private room,2,1.0,1.0,1.0,1 bath,1,365,1.0,1125.0,149.0,26,56,82,345,11,2,0,2024-02-11,2025-04-12,0.66,4.36,4.55,4.64,4.18,4.36,4.82,4.18,t,f,2023-02-20,within an hour,1.0,0.96,t,t,3.0,4.0,0,10,0,Exempt,"[""Pets allowed"", ""Dishes and silverware"", ""Iron"", ""TV"", ""Paid parking on premises"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""Hangers"", ""Building staff"", ""Gym"", ""Essentials"", ""Bed linens"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""First aid kit"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Refrigerator"", ""Cooking basics"", ""Stove"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi""]","[0.933, 1.0)","[0.955, 0.966)","[1.0, 4.933)","[133.2, 167.6)","[1050.2, 1125.0)","[340.667, 365.0)","[7.733, 15.467)","[4.2, 4.467)","[3.933, 4.2)","[0.425, 0.839)"
1076229137857560672,53998901,,Ward D (councilmember Michael Yun),40.7521,-74.05166,Entire condo,Entire home/apt,6,1.0,0.0,2.0,1 bath,2,16,16.0,16.0,122.0,8,24,44,306,77,5,0,2024-04-05,2025-06-19,5.18,4.73,4.78,4.9,4.92,4.9,4.66,4.7,t,f,2016-01-09,within an hour,1.0,1.0,t,f,2.0,2.0,2,0,0,STR-003515-2025,"[""Mini fridge"", ""HDTV with Amazon Prime Video, Netflix, Disney+, Fire TV"", ""Bathtub"", ""Room-darkening shades"", ""Exterior security cameras on property"", ""Shampoo"", ""Dishes and silverware"", ""Keypad"", ""Shower gel"", ""Conditioner"", ""Hot water kettle"", ""Refrigerator"", ""Free street parking"", ""Microwave"", ""Self check-in"", ""Long term stays allowed"", ""Pets allowed"", ""Body soap"", ""Iron"", ""Portable heater"", ""Dining table"", ""Hangers"", ""Extra pillows and blankets"", ""Board games"", ""Smoke alarm"", ""First aid kit"", ""Central heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Clothing storage: walk-in closet"", ""Laundromat nearby"", ""Bed linens"", ""Fast wifi \u2013 284 Mbps"", ""Fire extinguisher"", ""Cleaning products"", ""Hot water"", ""Air conditioning"", ""Coffee"", ""Coffee maker: Keurig coffee machine""]","[0.933, 1.0)","[0.989, 1.0)","[1.0, 4.933)","[98.8, 133.2)","[3.0, 77.8)","[292.0, 316.333)","[69.6, 77.333)","[4.467, 4.733)","[4.467, 4.733)","[4.986, 5.401)"
1076254322968505760,501979284,,Ward C (councilmember Richard Boggiano),40.73107,-74.05913,Private room in home,Private room,2,1.0,1.0,1.0,1 bath,1,365,365.0,365.0,74.0,26,56,86,176,95,57,0,2024-02-10,2025-06-18,5.71,4.79,4.89,4.72,4.78,4.82,4.84,4.69,f,t,2023-02-20,within an hour,1.0,0.96,t,t,8.0,11.0,0,6,0,STR-000001-2024,"[""Paid washer \u2013 In building"", ""Clothing storage"", ""Iron"", ""Paid dryer \u2013 In building"", ""Shower gel"", ""Shampoo"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Smoke alarm"", ""Kitchen"", ""Lock on bedroom door"", ""First aid kit"", ""Hair dryer"", ""Host greets you"", ""Fire extinguisher"", ""Fire pit"", ""Conditioner"", ""Window AC unit"", ""Hot water"", ""Exterior security cameras on property"", ""Central heating"", ""Carbon monoxide alarm"", ""Body soap"", ""Wifi""]","[0.933, 1.0)","[0.955, 0.966)","[8.867, 12.8)","[64.4, 98.8)","[302.2, 377.0)","[170.333, 194.667)","[92.8, 100.533)","[4.733, 5.0)","[4.467, 4.733)","[5.401, 5.815)"
1076277016485648174,29876409,,Ward B (councilmember Mira Prinz-Arey),40.72514797608621,-74.07057790121955,Private room in rental unit,Private room,1,1.0,1.0,0.0,1 bath,28,365,365.0,365.0,50.0,0,1,31,91,19,4,0,2024-03-23,2024-11-16,1.22,4.95,4.89,4.84,4.95,4.95,4.84,4.84,t,t,2015-03-23,within an hour,1.0,1.0,t,t,5.0,10.0,0,3,0,SL222222X2XX2XXXX2,"[""Shampoo"", ""Wifi"", ""Lockbox"", ""Carbon monoxide alarm"", ""Kitchen"", ""Lock on bedroom door"", ""Self check-in"", ""Heating"", ""Hair dryer"", ""Shower gel"", ""Air conditioning"", ""Fire extinguisher"", ""Refrigerator"", ""Smoke alarm"", ""Hot water"", ""Essentials""]","[0.933, 1.0)","[0.989, 1.0)","[8.867, 12.8)","[30.0, 64.4)","[302.2, 377.0)","[73.0, 97.333)","[15.467, 23.2)","[4.733, 5.0)","[4.733, 5.0)","[0.839, 1.254)"
1076703535830610576,529291676,,Ward D (councilmember Michael Yun),40.7471413,-74.0465696,Entire rental unit,Entire home/apt,9,3.0,1.0,6.0,3 baths,1,365,1125.0,1125.0,448.0,18,40,70,345,55,38,3,2024-02-19,2025-06-19,3.35,4.73,4.82,4.75,4.93,4.84,4.64,4.67,f,f,2023-08-01,within an hour,1.0,1.0,t,t,10.0,10.0,8,0,0,Exempt,"[""Clothing storage: dresser"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Shower gel"", ""Freezer"", ""Baking sheet"", ""GE stainless steel gas stove"", ""Hot water kettle"", ""Cleaning available during stay"", ""Dove body soap"", ""Dove shampoo"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib - available upon request"", ""Kitchen"", ""Free street parking"", ""Private entrance"", ""Dedicated workspace"", ""Blender"", ""Microwave"", ""Gym"", ""Heating - split type ductless system"", ""Pets allowed"", ""Long term stays allowed"", ""Hair dryer"", ""General Eelectric refrigerator"", ""Iron"", ""Toaster"", ""Breakfast"", ""Dining table"", ""Hangers"", ""Extra pillows and blankets"", ""Smart lock"", ""Dove conditioner"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Cooking basics"", ""Arcade games"", ""Carbon monoxide alarm"", ""TV"", ""Essentials"", ""Laundromat nearby"", ""Bed linens"", ""Fire extinguisher"", ""General Electric stainless steel single oven"", ""Books and reading material"", ""Cleaning products"", ""Hot water"", ""AC - split type ductless system"", ""Coffee maker: drip coffee maker"", ""Wifi"", ""Coffee"", ""Self check-in""]","[0.933, 1.0)","[0.989, 1.0)","[8.867, 12.8)","[442.8, 477.2)","[1050.2, 1125.0)","[340.667, 365.0)","[54.133, 61.867)","[4.467, 4.733)","[4.467, 4.733)","[3.327, 3.742)"
